ETHprice,Vol(ETH),marketprice,Time
0.00938539,905334.0,0.00261486,6.17100000381
0.00938539,905334.0,0.00261486,15.8980000019
0.00938539,905334.0,0.00261486,26.6589999199
0.0093945,907396.0,0.00261486,37.3259999752
0.0093945,907396.0,0.00261486,49.7869999409
0.00941046,907959.0,0.00261486,62.2890000343
0.00941885,908315.0,0.00261486,73.2100000381
0.00941885,908315.0,0.00261486,86.3840000629
0.00942525,909503.0,0.00261486,98.7449998856
0.00942594,910119.0,0.00261486,112.109999895
0.00943452,910936.0,0.00261486,123.220000029
